title,company,location,category,description
Customer Support Executive,Policybazaar.com,India,Customer Services Jobs,"International/ Domestic Customer Support Executive Office Location: Gurugram, Haryana Contact Person - HR Anjali - What's app your resume to 8826269231 Interview Mode - Face to Face only (No Virtual rounds) Work Mode- On-site working Working days- 6 days working with a roster off Preferred Languages- English, Hindi, Tamil, Telugu, Kannada Salary- 2.5 - 4 LPA PolicyBazaar is looking for dynamic and customer-focused individuals to join our Customer Service team. As a Customer Support Specialist, …"
Site Engineer,VOX REALTIES PRIVATE LIMITED,"Chennai, Tamil Nadu",Engineering Jobs,"Company Description VOX REALTIES PRIVATE LIMITED is a real estate company based in Chennai, Tamil Nadu, India. The company is dedicated to delivering high-quality real estate solutions. VOX REALTIES focuses on creating innovative and sustainable housing and commercial projects. The company values professionalism, quality, and customer satisfaction. Role Description This is a full-time site-based role for a Site Engineer located in Chennai. The Site Engineer will oversee daily operations at cons…"
Mobile Apps Development Team Lead,Binary Semantics Ltd.,India,IT Jobs,"Hey everyone! We are seeking an experienced Mobile Apps Development Team Lead to manage and guide a dynamic team of developers specializing in Flutter, React Native, Kotlin, and iOS . The ideal candidate will possess strong technical expertise across these platforms, excellent leadership skills, and the ability to drive high-quality mobile application development. Location: Gurgaon Employment Type: Full-Time Experience: 8 years in mobile app development , with at least 2 years in team leadershi…"
Video Editor,RegisterKaro,India,Creative & Design Jobs,"Job Title: Video Editor (Junior / Associate) Experience: 6 Months – 2 Years Location: Gurugram, India Job Type: Full-Time About the Role We are looking for a creative and committed Video Editor with 6 months to 1 year of hands-on experience to join our team full-time. The ideal candidate should have a strong foundation in video editing, a keen eye for detail, and the ability to produce engaging content that aligns with our brand identity and business goals. You will be responsible for creating …"
DevOps Engineer,Incedo Inc.,India,IT Jobs,"Key Responsibilities Design, implement, and maintain CI/CD pipelines using Azure DevOps Manage build and deployment pipelines across multiple environments Support applications built using .NET, Java, JavaScript, React , etc. Automate operational and deployment tasks using PowerShell, Shell scripting, and Python Perform environment setup and configuration for dev, test, stage, and prod Configure and manage Grafana dashboards for application and infrastructure monitoring Implement centralized log…"
Program Manager,Curefit,"Bangalore, Karnataka",Sales Jobs,"Sales will own execution, and monitoring of sales programs. The role ensures target achievement, incentive discipline, productivity, and consistency across cities and shifts. This is a hands-on execution role, working closely with center managers, Cluster Managers and City teams Key Responsibilities Sales Performance Tracking & Reporting Track daily / weekly sales performance across all gyms Monitor: New memberships Conversions Renewals Maintain accurate dashboards and MIS Flag gaps, misses, an…"
Investment Banking - Investor Relations Intern,Pune Angels Network,India,Accounting & Finance Jobs,"Job Description: Investment Banking – Intern / Associate Company: iAccelerate – A Business Unit of Accelerate Angels & Venture Advisors Pvt. Ltd. (AAVA) Location: Pune (Full Time) Reporting To: Investment Banking & Deal Delivery Team Engagement Type: Internship / Full-time Associate (based on experience) About iAccelerate & PAN iAccelerate is the venture advisory and investment banking arm of Accelerate Angels & Venture Advisors Pvt. Ltd. (AAVA). Through its brand Pune Angels Network (PAN), AAV…"
SAP Manager,ARA Resources Pvt. Ltd.,"Bangalore, Karnataka",IT Jobs,"Role Overview We are seeking an experienced Technology Consulting Practitioner with deep expertise in SAP S/4HANA Finance and Group Reporting to lead high-impact initiatives across the systems development lifecycle. The role involves advising stakeholders, driving financial transformation programs, and architecting scalable SAP finance solutions aligned with business objectives. The candidate will play a critical role in optimizing financial processes and enabling value realization through SAP …"
Graphic Designer,Nalanda Educational Institutions,"Vijayawada, Krishna",Creative & Design Jobs,"Graphic Designer Job Description - Nalanda Vidyaniketan Position: Graphic Designer Location: Vijayawada, Andhra Pradesh Type: Full-time About Us: Nalanda Vidyaniketan, a premier educational institution in Vijayawada, Andhra Pradesh, with a legacy of 35 years, is committed to nurturing excellence in education. We are affiliated with CBSE and strive to provide a holistic learning environment for our students. Join us to be a part of a dynamic team dedicated to innovative and creative educational …"
Quality Assurance Engineer,LTIMindtree,"Hyderabad, Telangana",IT Jobs,"Please fill this form for Quick Response: - Testing _Hyderabad – Fill out form Role :- QA Skills:- Manual Testing, Automation testing Job description Bachelors or Masters degree with the following experience Proficiency in the Spring Framework stack Spring Boot Spring Data 5 years Strong experience with Oracle RDBMS 3 years Handson experience in JPAHibernate including writing complex queries optimizing performance and managing entity relationships 5 years 7 years Strong expertise in Core Java J…"
Junior Quantitative Analyst,Finominal,India,Accounting & Finance Jobs,"We're looking for a Junior Quantitative Analyst to join our team at Finominal. The role is fully remote, but you will become part of a highly active and collaborative team. You will be part of the research team at Finominal, where your work includes quantitative research projects, statistical analysis, investment products and market reviews, and data integrity. About Us: At Finominal, we're on a mission to revolutionize the investment industry by reducing costs and simplifying the complexities …"
Senior Data Engineer,ACL Digital,"Bangalore, Karnataka",IT Jobs,"• 5 years of hands-on application development experience in one or more programming languages like Python, Pyspark etc. • 5 years of hands-on experience in development and deployment of cloud native solutions leveraging AWS Services: Compute(EC2, Lambda), Storage (S3), Database (RDS, Aurora, Postgres, DynamoDB), Orchestration (Apache Airflow, Step Function, SNS), ETL/Analytics(Glue, EMR, Athena, Redshift), Infra (Cloud Formation, Code Pipeline), Data Migration (AWS DataSync, AWS DMS), APIGatewa…"
Senior Analyst – Management Consulting,Mercados Energy Markets India,"Hisar, Haryana","Energy, Oil & Gas Jobs","A. About Mercados Energy Markets India Pvt. Ltd Mercados Energy Markets India Pvt. Ltd. (Mercados) is a specialist consultancy firm, exclusively focused on business solutions in the energy and environment domain. Since the beginning of its operations in India in 2008, Mercados has been supporting clients across the energy sector value chain. We strive to promote efficient and sustainable energy markets; design effective regulations and assist energy businesses to succeed. Our approach integrate…"
Project Manager,AVASO Technology Solutions,India,IT Jobs,"WE ARE HIRING AVASO Technology Solutions is currently seeking a Project Manager. As an AVASO employee, you will be part of a global organization that provides IT Services to big national as well as international clients across multiple industries. We are an IT solution provider with coverage in more than 170 countries as well as global distribution capabilities. We have a proven track record of success in providing best-of-breed technology solutions to enterprises of all sizes, including some o…"
Social Media Marketing Manager,Westlake Brands,"Bangalore, Karnataka",Retail Jobs,"Company Description Westlake Brands, based in Austin, Texas, a upcoming brand specializes in creating premium lifestyle products that combine simplicity, performance, and sustainability to enhance daily experiences. Each of our brands caters to focused demographics and active styles. This is a newly created position to be based in India to support the brand for USA and Indian markets. About the Role We are seeking a creative, strategic, and culture‑driven Social Media Manager with experience in…"
Cloud Engineer,Data Intensity,"Hyderabad, Telangana",IT Jobs,"OCI Cloud Engineer Responsibilities 5–7 years of experience in cloud engineering or system administration. Implementing secure and scalable infrastructure solutions on Oracle Cloud Infrastructure (OCI). Support migration of on-premises workloads (VMs, databases, applications) to OCI. Work with OCI services including Compute, Networking, Load Balancers, Object Storage, and Databases. Configure Virtual Cloud Networks (VCNs), subnets, routing tables, NAT gateways, and secure communication channels…"
Senior Engineering Manager,Marriott Tech Accelerator,"Hyderabad, Telangana",IT Jobs,"About Us: Marriott International Inc., headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. From such humble beginnings to becoming the worlds largest hotel …"
Sales Executive,Talent Corner HR Services Pvt Ltd,"Mumbai, Maharashtra",Logistics & Warehouse Jobs,"Job Description Position Title: Sales Executive – Warehousing Job Location: Mumbai, Chennai or remote options are available Experience required: Fresher to 2 Years Salary : CTC: ₹25,000 – ₹35,000 per month (Experienced) CTC: ₹20,000 – ₹25,000 per month (Fresher) About the Company: It is a leading player in the logistics and freight forwarding industry, dedicated to providing innovative and efficient supply chain solutions. The comprehensive services span across warehousing, Transportation, Glob…"
HCLTECH Walk-in Drive - International Banking Non - Voice Process,HCLTech,"Chennai, Tamil Nadu",Accounting & Finance Jobs,"HCLTECH Walk-in Drive - International Banking Non - Voice Process 30th & 31st January 2026  Walk-in Drive Details:  Interview Location: HCL Technologies Ltd, ETA 1, No 33, Block 1, Sandhya Infocity, OMR, Rajiv Gandhi Salai, Navalur, Chennai.  Date: 30th & 31st January 2026 ⏰ Time: 12:00 PM - 4:00 PM. SPAN - MORTGAGE Designation : Associate Job Summary: Perform & manage quality control reviews of residential loan files in accordance with customer quality control policies and procedures and accep…"
Senior Fundraising Manager – Individual Giving,SankalpTaru Foundation,"Dehradun, Uttarakhand",Charity & Voluntary Jobs,"Organization Description SankalpTaru is India’s leading tech-enabled environmental NGO, planting and nurturing trees across some of the country’s toughest and most diverse landscapes — from the cold deserts of Ladakh and the dunes of the Thar to the mangroves of Sundarbans and the cyclone-prone coasts of Odisha. Over the past decade, we have partnered with more than 1,700 corporate organizations across the globe , planted over 13 million trees , and supported the livelihoods of 50,000 farmer fa…"
FCCS,LTIMindtree,India,IT Jobs,Job Role: FCCS Years of Experience: 5 Years Location: Pan India (LTIMindtree office) Job Summary : Seeking an experienced FCCS Developer to design develop and maintain Financial Consolidation and Close Cloud solutions Job Description : Develop and implement Financial Consolidation and Close Cloud Service FCCS applications Collaborate with finance and IT teams to gather and analyze business requirements Customize FCCS modules to meet organizational financial reporting and consolidation needs Per…
B2B SAAS Sales,Leap,"Bangalore, Karnataka",Sales Jobs,A bout the Role Leap is building a peer-to-peer mentorship platform where students studying abroad mentor aspiring students from India. We are looking for someone who understands both: i) The study abroad journey (ideally someone who has lived it) ii) And how to sell a platform (SaaS-style consultative selling) This role is about building the supply side of our P2P marketplace. What You’ll Do i) Identify and source alumni & current students studying abroad ii) Pitch and onboard them as mentors …
Fellowship IVF for Gynecologists,INDIA IVF & FERTILITY CLINIC,India,Healthcare & Nursing Jobs,"3 yrs Fellowship Programme in IVF & ART - 1 seat Gwalior Recognised as per new ART Law With stipend India IVF Fertility is one of India’s leading fertility clinic chains, transforming the IVF landscape by providing cutting-edge treatments and standardized care across Tier 1 to Tier 3 cities. Backed by $1.25 million in pre-Series A funding from Tomorrow Capital , we are on a mission to make fertility care accessible, affordable, and effective for millions of couples. With rapid expansion plans a…"
Business Analyst - Credit Risk Strategy,slice,"Bangalore, Karnataka",IT Jobs,"About the team The analytics team at slice plays a critical role in all the decisions both small and big. As a Business Analyst you will be charged with solving various problems in the company using data. Your job doesn't end at finding insights and giving recommendations, you are also responsible for getting your recommendations implemented and ensuring actual business impact. Some examples of the problem statements that might come to the team How to increase the usage of product X by Y%? How …"
Senior Data Engineer,Omnicom Global Solutions,"Bangalore, Karnataka",IT Jobs,"Why Join Us? At Omnicom Global Solutions India, work is more than a job—it is a space to grow, thrive, and feel celebrated. We foster a culture built on integrity, respect, equity, pride, and belonging, offering a holistic employee experience that empowers real impact. What Makes Life at OGS Special: Trust Through Transparency & Integrity : We keep things open and fair with easy access to leaders and HR, ways to share your feedback, and clear processes that ensure honesty and accountability. Cu…"
Senior Software Engineer II [T500-22989],Marriott Tech Accelerator,"Hyderabad, Telangana",IT Jobs,"About Us: Marriott International Inc. , headquartered in Bethesda, Maryland, USA, was founded in May 1927 by J. Willard Marriott and Alice S. Marriott with a modest nine-seat A&W root beer stand. Guided by the family's leadership and core principles, Marriott International today has grown into a global hospitality giant, operating approximately 9,000 properties and over 30 leading brands in more than 140 countries and territories. Role Title: Senior Software Engineer II - Developer Position Sum…"
AI/Ml Engineer _ Foundation AI MODEL,FinAI,"Mumbai, Maharashtra",IT Jobs,"AI / ML Engineer  Mumbai_ on site Expriance : 3 year  Fin 100X.AI is secure AI financial & Governance intelligence . Fin AI – India’s trusted AI platform helping Youth manage, protect, and grow their money safely. Reg AI – AI governance and clause-level regulatory intelligence system for institutional compliance. We operate at the intersection of financial intelligence and AI governance. This is not a generic ML role. You will build explainable, audit-ready AI used in regulated environments.  W…"
Principal Engineer,Recro,"Bangalore, Karnataka",IT Jobs," Exciting Opportunity for a Principal Engineer  ""At Recro, we are currently partnering with a leading enterprise to find a talented and passionate Principal Engineer to join their team."" Refer to the Job opening mentioned below. Interested? For a detailed conversation, get it touch with me at [kamalakanta.kar@recro.io]. Feel free to reach out to me directly for a discussion We are seeking a Principal Engineer who will act as the technical owner and architect for their product domain. You will p…"
Sales Trainer,Element Retail,"Bangalore, Karnataka",Retail Jobs,"Trainer: Key Responsibilities • Conduct induction and onboarding training for new joiners • Deliver classroom and on-the-job training on sales, product knowledge, VM basics, and customer service • Provide on-floor coaching and performance feedback to store teams • Identify training needs and skill gaps through store visits and audits • Develop and update training materials, manuals, and presentations • Track training effectiveness and maintain training MIS • Coordinate with HR and Operations te…"
Demand Planning Manager - Groceries,Careem,"Ahmedabad, Gujarat",Manufacturing Jobs,"About the team: Careem Grocery is on a mission to reinvent the way people shop for grocery, pharmacy and retail products. As an exciting new vertical within Careem (a startup within a startup), were in the early stages of building our product and have plenty of interesting and fundamental challenges to solve in order to achieve our ambitious growth goals in this burgeoning space. What you will do: Demand Forecasting: Utilize historical sales data, market trends, and customer insights to develop…"
Business Finance Manager,MSN Laboratories,"Hyderabad, Telangana",Accounting & Finance Jobs,"Job Position: Manager / Sr. Manager – Business Finance Job Summary: We are seeking a dynamic individual for the position of Manager / Sr. Manager – Business Finance within the Pharma industry. Responsibilities: Oversee overall business finance activities, ensuring financial discipline and strategic alignment. Lead budgeting, forecasting, and financial planning to support business goals. Partner with cross-functional teams to analyze performance, profitability, and cost optimization. Manage time…"
Integration Developer (SAP BTP & Informatica IICS),RED Global,India,IT Jobs,"We are currently supporting our client in their search for an experienced Integration Developer with experience working with SAP BTP & Informatica IICS to join their growing team of IT professionals. This is an exciting opportunity for a skilled Integration Developer expert who thrives in complex environments and wants to play a key role in shaping platform strategy, performance, and best practices. Contract Details Job title: Integration Developer (SAP BTP & Informatica IICS) Contract Type: B2…"
Sales Team Lead,Policybazaar.com,"Bangalore, Karnataka",Sales Jobs,"About the company: Policybazaar was founded in 2008 with one objective: bringing transparency in insurance. The founders wanted to reimagine insurance, so they started by simplifying all the information around plans, ending the rampant mis-selling, and preventing policy lapses. Today, we are India’s best & largest online insurance platform. Over 16 million individuals have come to us & bought the best insurance plans from the top insurers in the country. We have sold over 42 million policies si…"
IT Business Systems Analyst,Schneider Electric,"Bangalore, Karnataka",IT Jobs,"IT Business Systems Analyst Role Summary We are looking for a proactive and detail-oriented Business Analyst with 3 to 5 years of experience to drive the translation of business requirements into technical solutions. The ideal candidate will have a strong understanding of both business processes and technical systems, enabling them to define product features, create technical documentation, and manage solution delivery in an agile environment. This role requires strong analytical skills, stakeh…"
Legal Associate,Artha Group,"Mumbai, Maharashtra",Legal Jobs,"About Artha Group Artha Group is a premier venture capital and private equity firm , managing an AUM of ₹1,000 crores across Artha Venture Fund, Artha Select Fund, and Artha Continuum Fund . With investments in 116 high-growth companies , including OYO Rooms, Purplle, Rapido, and Karza Technologies , we are at the forefront of structuring, negotiating, and executing investments across listed and unlisted markets . We are seeking a highly meticulous, corporate finance-focused Legal Associate to …"
Mechanical Design Engineer Intern,Chiltier,"Hyderabad, Telangana",Engineering Jobs,"Company Description At Chiltier, we are revolutionizing thermal management in wearable technology. Our mission is to empower individuals to overcome climate challenges and lead uncompromised lives. Set to launch in 2026, Chiltier products will be available through strategic partnerships, digital platforms, and select channels, serving communities worldwide with performance-focused solutions. Role Description We’re looking for a Mechanical Design Engineer Intern to support the design and develop…"
Container Solutions Engineer,UpTech Solution,"Hyderabad, Telangana",IT Jobs,"Senior Container Solutions Engineer Location: Onsite, Hyderabad Client: Global Pharmaceutical Enterprise Level: Senior Role Overview A leading global pharmaceutical organization is investing heavily in advanced IT platforms to accelerate drug discovery, scientific computing, and global research collaboration. We are seeking a Senior Container Solutions Engineer with deep, hands-on expertise in Kubernetes architecture and enterprise-scale container platform engineering. This role requires expert…"
Executive Administration,Step By Step Nursery School,"New Delhi, Delhi",Admin Jobs,"Role Purpose The Executive – Administration is responsible for the smooth, safe, and compliant day-to-day functioning of the school campus, with specific sensitivity to Early Childhood Education (ECE) environments. The role supports the Principal and Vice Principal in administrative, operational, safety, and government liaison functions. Key Responsibilities Some of the major responsibilities: Support Principal & Vice Principal in administrative tasks, documentation, and office memos Manage sch…"
Artificial Intelligence Engineer,Xebia,India,IT Jobs,"Position Overview We are seeking an experienced Senior Developer to join our team and lead the development of production‑ready AI agents using Amazon Bedrock AgentCore . This role requires expertise in building scalable, secure, agentic AI systems that can operate autonomously across enterprise environments. Key Responsibilities Design, develop, and deploy AI agents using the Amazon Bedrock AgentCore platform Build multi‑agent workflows with agent‑to‑agent (A2A) communication capabilities Integ…"
Murex Market Risk Consultant,Luxoft India,India,IT Jobs,"Project description: We have been engaged by a large European Bank to provide experienced professionals for their Murex Market Risk program. The program focuses on delivering a robust risk management platform for Treasury Front Office, TMO, and Risk teams to effectively manage the bank's funding and market risk exposures. Team members are expected to bring deep expertise, drive change initiatives, and work closely with business stakeholders to ensure seamless delivery of enhancements and new fu…"
Talent Acquisition Lead,Three Across,"Bangalore, Karnataka",HR & Recruitment Jobs,"Role Overview We are hiring Talent Acquisition Lead to handle end-to-end hiring and strengthen our talent pipeline across roles, on a 6‑month contractual position with the possibility of conversion to full-time employment. Job Title: Talent Acquisition Lead Location: Bangalore/ Gurugram (Hybrid) Experience: 4 - 5 years Maximum Open Positions: 10 Key Responsibilities Handle full recruitment lifecycle : JD finalization, sourcing, screening, interviews, offers, and joining. Source candidates via j…"
Oracle fusion functional consultant,Peoplefy,India,IT Jobs,"Oracle Financial Functional Consultant. In -depth knowledge and experience in Oracle Fusion Financial modules. Responsible for implementing, configuring, and maintaining modules to meet business requirements. Hands – on Experience with Financials (GL, AP, AR, FA, TAX, SCM) for at least 2-3 Implementations\ enhancements."
Dynamics 365 Finance & Operations,alliantgroup,"Hyderabad, Telangana",Accounting & Finance Jobs,"Role: Dynamics 365 Finance & Operations (D365 F&O) Finance Operations Support Analyst (AP/AR/GL) (a.k.a. D365 F&O Finance Support Specialist / Financial Transactions Analyst) Location: Hyderabad (In office culture) Working Hours: 3:00 PM to 12:00 AM about alliantgroup alliantgroup is a professional services firm (PSF) that is focused on providing business consulting, digital transformation, taxation (Credits and Incentives), and accounting services. The main business purpose of the firm is to s…"
Purview Data Governance Specialist,Capgemini,"Bangalore, Karnataka",IT Jobs,"We are looking for a data-driven professional to champion our data integrity and compliance efforts. You will be the architect of our Microsoft Purview environment, ensuring that our data assets are classified, high-quality, and secure. Locations: PAN India Key Responsibilities: Governance Architecture: Implement and manage Microsoft Purview Data Catalog and privacy modules to ensure full visibility into the data estate. Quality Standards: Establish robust data quality standards, metrics, and m…"
Lead Software Engineer – Platform Engineering (AI-Enabled Systems),iCliniq,"Coimbatore, Tamil Nadu",IT Jobs,"About iCliniq iCliniq is a pioneering global healthcare technology company committed to democratizing access to world class medical care. Our mission is to leverage cutting-edge technology to ensure everyone, regardless of location, has access to top-tier healthcare services. By integrating innovative AI solutions and telemedicine, we bridge the gap between patients and healthcare professionals, delivering seamless, efficient medical care worldwide. iCliniq leverages artificial intelligence to …"
Senior Executive Assistant,Vodafone Idea Limited,"Mumbai, Maharashtra",Healthcare & Nursing Jobs,"Key Result Areas/ Accountabilities Manage the schedule, calendar and travel arrangements. Coordinate meetings, conferences and other activities, including agendas and minutes Develop and maintain relevant information, physically and digitally basis requirements Handle confidential and sensitive information with discretion Provide support for day-to-day operational execution Facilitate communication between leadership team and departments Ensure due diligence to help in process governance"
Quantexa Business Analyst,KPMG India,"Hyderabad, Telangana",IT Jobs,"KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada. KPMG entities in…"
Tooling Design & Development Engineer,Tata Electronics,"Bangalore, Karnataka",Engineering Jobs,"Job Summary: As a Fixtures and Tooling Design & Development Engineer, you will play a critical role in the development and optimization of tooling, fixtures, and equipment used in semiconductor assembly processes. You will work closely with cross-functional teams to design and implement innovative solutions that enhance efficiency, precision, and quality in the manufacturing environment. Your work will directly contribute to the successful assembly of high-performance semiconductor devices. Key…"
Associate - Research & Client Engagement,PDM Investment & Trading Company Pvt. Ltd.,"Kolkata, West Bengal",Accounting & Finance Jobs,"We’re growing our boutique wealth management practice in Kolkata! We are looking for an Associate – Research & Client Engagement to join our team and bring fresh ideas to our clients. Location: Kolkata About Us We are a boutique wealth management firm based in Kolkata serving individuals, families, and corporates with personalized financial solutions. With expertise in investment research and portfolio management, we pride ourselves on building long‑term, trust‑based relationships with our clie…"
Customer Service Representative,Policybazaar.com,India,Sales Jobs,"Job Title: Customer Service Representative If you are interested in joining our team, please share your resume at ankitabisht1@policybazaar.com or via WhatsApp at 8448389308 Location: Gurugram Contact Person - HR Ankita- WhatsApp your resume to 8448389308 or email to ankitabisht1@policybazaar.com. Interview Mode - Only Face-to-Face (No Virtual Interviews) Qualification- 0-3 yrs (Freshers are welcome) CTC: ₹2.55 - 4 LPA  Incentives Location: Gurugram Experience: 0-4 years Education: Graduation r…"
Senior Product Validation Engineer,Siemens EDA ,"Noida, Ghaziabad",Engineering Jobs,"This role is based in Noida. But you’ll also get to visit other locations in India and globe, so you’ll need to go where this job takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries, and the shape of things to come. We make real what matters! This is your role This role involves developing and implementing emulation test plans to validate sophisticated semiconductor products. The engineer will leverage hardware description languages such as Verilog …"
IT Manager,TechXR Innovations Private Limited,"Bhopal, Madhya Pradesh",IT Jobs,"Job Title: IT Manager Experience: 2–5 Years Salary: ₹30,000 – ₹35,000 per month Key Responsibilities: * Cloud Telephony: Set up and manage cloud communication systems (IVR configuration, call routing, and user management). * Inventory Management: Maintain an accurate and up-to-date log of all IT assets using tracking tools. * Procurement: Handle end-to-end sourcing and purchasing of IT equipment and software within budget. * Asset Tracking: Monitor equipment assignment, returns, and maintenance…"
Velocity Sales - US Staffing Lead,Forsys Inc,"Hyderabad, Telangana",IT Jobs,"About Forsys: Forsys Inc. is a leader in Lead-to-Revenue transformation, combining strategy, technology, and business transformation to drive growth. With a team of over 500 professionals spread across the US, India, UK, Colombia, and Brazil, and headquartered in the Bay Area, Forsys epitomizes innovation and excellence. Our role as an implementation partner for major vendors like Conga, Salesforce and Oracle; an incubator for pioneering ideas and solutions positions us uniquely in the consulti…"
Senior QA Engineer (Manual  Automation),Stackular,"Hyderabad, Telangana",IT Jobs,"Job Title: Senior QA Engineer (Manual  Automation) Experience: 5–7 Years Location: Raidurg Main Road, Hyderabad. Work mode: On-site Notice Period: Immediate Joiner (15-30 days) About the Role We are looking for a highly motivated Senior QA Engineer with strong expertise in both manual and automation testing. The ideal candidate should have experience leading QA initiatives, manage small teams, and driving quality across the SDLC. Strong working knowledge of Azure DevOps for test management, CI/…"
Sap Advanced Business Application Programming Consultant,Volkswagen Group Digital Solutions [India],India,IT Jobs,"We are hiring for SAP ABAP HANA. Experience: 7 to 10 Years Location: Pune Notice Period: Immediate to 30 Days Job Description: Hands-on experience on Eclipse for ABAP developments on ABAP Development Tools (ADT) and Business Application Studio. Expert on CDS, AMDP Expert in Object Oriented Programming concept. Good to have RAP/ BOPF Good to have experience in Agile Delivery Methodology Ability to prioritize the work as per the project needs Good to have experience in Procurement Processes"
Senior Content Editor,Weber Shandwick,"Mumbai, Maharashtra","PR, Advertising & Marketing Jobs","Role: Senior Content Editor Location: Mumbai Client Category: Corporate, Technology, Sustainability Overview Part of The Weber Shandwick Collective, we’re the earned-first global communications agency, led by world-class strategic thinkers and creative activators. We create shared and sustainable value for businesses, people, and society. We energize the right mix of talent, using the right platforms and latest technology to choreograph stories that make a real and meaningful impact for some of…"
Lead- Shopify Developer,BOMBAYDC,"Mumbai, Maharashtra",IT Jobs,"We are looking for a Lead Shopify Developer to join our development team. This role focuses on building extremely custom Shopify storefronts using headless Shopify and Shopify Plus, leveraging your expertise in back-end development. The ideal candidate will have hands-on experience with both Shopify’s API and advanced customization features, along with a strong understanding of our tech stack (vanilla JS with PHP or Next.js with Node). Key Responsibilities : Shopify Development : Lead the creat…"
Production Accountant (Media & Entertainment),BuzzFeed Studios,India,Accounting & Finance Jobs,"Job Summary We are looking for an experienced Production Accountant to manage budgets, track costs, and ensure financial compliance across film, television, digital, or commercial productions. The role requires strong attention to detail, hands-on experience with production finance, and the ability to work closely with producers and production teams. Industry: Media & Entertainment Location: Mumbai / On-site Employment Type: Contract Key Responsibilities Prepare, manage, and track production bu…"
Senior Engineer Software,Albertsons Companies India,"Bangalore, Karnataka",IT Jobs,"Job Description We are excited to announce an opening for Senior Engineer Software at ACI. Please find below the details of the role and its responsibilities. Position Title : Sr Engineer Software Function: Roles & responsibilities: Hands on code writing and doing code reviews Evaluates complex user requests, projects, and clarifies objectives and functional requirements for new or modified computer programs Designs/develops software solutions and business process solutions based on business ne…"
Clinical Research Associate-BA/BE studies,Naari Pharma Pvt Ltd.,"Noida, Ghaziabad",Scientific & QA Jobs,"Job description: Clinical Research Associate/ Project Manager– Bioequivalence (BE) Studies Job Summary The Clinical Project Manager (CPM) is responsible for the end-to-end management of sponsor-led bioequivalence (BE) studies conducted at Contract Research Organizations (CROs). The CPM ensures studies are delivered on time, within budget, and in compliance with regulatory requirements including U.S. Food and Drug Administration, European Medicines Agency, and International Council for Harmonisa…"
Lead Design Verification DDR Engineer,Cadence,"Bangalore, Karnataka",Engineering Jobs,"BE/BTech/ME/MTech - Electrical / Electronics / VLSI with an experience as a design and verification engineer. 4 years of Design Verification experience with SV/UVM Strong background on functional verification fundamentals, environment planning, test plan generation, environment development is a must. Design Verification experience verifying complex designs and leading projects from concept to verification closure. Strong hands-on UVM and System Verilog coding experience and functional verificat…"
SAP SD Consultant,Aptivision Technologies,"Gujarat, India",IT Jobs,"Job Title: SAP SD consultant, SAP MM Consultant, SAP Success Factor, SAP PP Consultant and SAP QM Consultant Location: Ahmedabad, Gujarat/ Surat, Gujarat Work mode: Onsite Work type: Contract for min 1 year Experience in below skill set: 5-8 years"
Motion & Graphic Designer,Whitedot Adverts,India,Creative & Design Jobs,"About Whitedot Adverts Whitedot Adverts is one of the fastest-growing brand communication agencies, known for delivering innovative and impactful campaigns for national and reputed clients. We thrive on creating exceptional customer experiences — from measuring customer touchpoints to prioritizing brand expectations and building strategies that unlock business potential. We help emerging companies reach their prospects and enable established brands to stay relevant through business-specific cre…"
Electrical Superintendent,Comaea Consulting,India,Engineering Jobs,"Our client is a leading MNC in the maritime sector and they want to recruit: Electrical Superintendent Based in Delhi NCR ORGANISATION: The role covers marine electrical, automation, and navigation/communication systems, and supports key operational events such as dry-docking, handover/takeover, retrofits, and equipment upgrades—with a sharp focus on uptime, cost discipline, and safety/compliance. YOUR RESPONSIBILITIES: Act as the shore-based technical point for electrical, automation, navigati…"
Audit & Tax Associate (CA Intermediate),Regi Tom Antony and Associates-India,"Kochi, Ernakulam",Accounting & Finance Jobs,"Company Description We are an established audit firm with over 20 years of experience under the leadership of a seasoned Chartered Accountant, Mr. Regi Tom Antony FCA. Our firm offers a diverse range of professional services, including statutory audits, bank branch audits, income tax filings, and audit services for individuals, companies, trusts, and public sector units. We also specialize in taxation, consultancy, compliance audits, due diligence, and virtual CFO services. With expertise in do…"
Inventory Planning & Replenishment Analyst,MSI Services Pvt Ltd,"Bangalore, Karnataka",Logistics & Warehouse Jobs,"About MSISERVICES PVT LTD “MSI Services in India is a subsidiary (Captive Center for IT/ITES) of MSI USA. MSI is a USD MNC with 4000employees in the USA. MSI Services India offers IT & ITES services to MSI USA and has its India office in Vasanth Nagar, Bangalore, India with 800 employees”. We plan to grow further and offer best in class Employee Benefits. For more details visit our website –http://www.msiservices.in/ If you enjoy working in an entrepreneurial results-oriented environment where …"
